id,tweet,topic,timestamp,score,label,subjectivity
20,Just diversified my portfolio. Feeling smart and secure.,Finance,2026-03-26 23:40:39.051496,0.6808,Positive,0.569
2,The recent software update BRICKED my laptop. Worst experience ever. smh.,Technology,2026-03-27 13:00:22.143947,-0.7506,Negative,0.416
13,Inflation data came out exactly as expected. Market reacting neutrally.,Finance,2026-03-27 14:06:15.499831,0.0,Neutral,0.0
10,Python 3.12 is out. Cool I guess.,Technology,2026-03-27 16:27:08.659193,0.3182,Positive,0.315
68,Road trip going smoothly so far.,Travel,2026-03-27 18:06:38.098609,0.0,Neutral,0.0
42,This migraine is killing me. Worst pain ever.,Health,2026-03-28 03:59:31.068845,-0.9153,Negative,0.702
45,The healthcare system is entirely broken and completely unaffordable.,Health,2026-03-29 04:26:55.070596,-0.5256,Negative,0.298
8,Loving the new noise-cancellation headphones. 10/10!,Technology,2026-03-29 09:35:39.720585,0.636,Positive,0.456
27,Ferrari strategy team ruins the race AGAIN. I can't watch this anymore.,Sports,2026-03-29 13:46:31.492451,-0.4404,Negative,0.225
28,Good defensive play by both teams tonight.,Sports,2026-03-29 16:38:03.115162,0.6597,Positive,0.615
47,Can't shake off this flu. I feel awful.,Health,2026-03-29 19:43:09.971440,-0.6227,Negative,0.64
24,My favorite player just tore his ACL. Heartbroken. 😭,Sports,2026-03-31 10:56:37.129922,-0.3182,Negative,0.549
59,I burnt the toast.,Food,2026-03-31 16:38:53.530241,0.0,Neutral,0.0
57,The coffee is too bitter for my taste.,Food,2026-03-31 22:13:05.642539,-0.4215,Negative,0.286
14,Why are gas prices so high right now? This is hurting my wallet.,Finance,2026-04-01 18:09:41.456990,-0.4019,Negative,0.184
52,Food arrived cold and 2 hours late. Never ordering from here again.,Food,2026-04-02 01:50:36.490170,0.0,Neutral,0.0
71,The new policy is a fantastic step forward for the community.,Politics,2026-04-02 02:54:21.796986,0.5574,Positive,0.286
11,Bitcoin is pumping!!! To the moon! 🚀🌕,Finance,2026-04-02 08:25:03.897101,0.0,Neutral,0.0
17,My bank charged me a $35 overdraft fee for a $2 coffee. I hate them.,Finance,2026-04-02 09:42:56.358739,-0.6705,Negative,0.355
4,My wifi has been down for 3 hours. I am losing my mind! 😡,Technology,2026-04-02 11:42:36.499692,-0.4389,Negative,0.224
43,Just had my annual checkup. Everything is normal.,Health,2026-04-02 15:05:06.596899,0.0,Neutral,0.0
67,Public transport in this city is so inefficient and dirty.,Travel,2026-04-02 15:54:46.868941,-0.4877,Negative,0.26
46,Started doing yoga every morning. It's truly life-changing! 🧘‍♀️,Health,2026-04-02 18:36:28.243858,0.4926,Positive,0.285
80,The economic policies are completely destroying the middle class.,Politics,2026-04-03 04:34:12.766353,-0.5984,Negative,0.327
79,Proud to see peaceful protests making a real difference.,Politics,2026-04-03 17:42:43.657973,0.6597,Positive,0.621
53,"Tried the new sushi place. It was okay, a bit overpriced.",Food,2026-04-03 19:13:20.781161,0.2263,Positive,0.174
70,Terrible jet lag today. Can barely keep my eyes open.,Travel,2026-04-03 19:46:18.616939,-0.6705,Negative,0.407
